Task ID,Task Type,Metric Value,Method
361279,regression,0.028,openinterpreter_gpt4o
361279,regression,0.605,openinterpreter_gpt4o
361279,regression,,openinterpreter_gpt4o
361279,regression,0.029,openinterpreter_gpt4o
361280,regression,,openinterpreter_gpt4o
361280,regression,2.19,openinterpreter_gpt4o
361280,regression,2.156,openinterpreter_gpt4o
361280,regression,2.19,openinterpreter_gpt4o
361280,regression,2.186,openinterpreter_gpt4o
361280,regression,,openinterpreter_gpt4o
361280,regression,2.19,openinterpreter_gpt4o
361280,regression,2.156,openinterpreter_gpt4o
361280,regression,1.824,openinterpreter_gpt4o
361280,regression,2.302,openinterpreter_gpt4o
